variable,class,n_nonmissing,pct_nonmissing,example_values
uniquerespid,character,93101,100,"FI005725, 25000006063, IT068-023-Z1, 15015000200, ES012978"
wave,numeric,93101,100,"6, 5, 8, 3, 1"
year,numeric,93101,100,"2015, 2010, 2024, 2000, 1991"
country,numeric,12158,13.1,"15, 5, 26, 20, 16"
country_code,character,93101,100,"FI, IT, LU, ES, EL"
samplingpointid,character,29800,32,"FI192, IT068, ES0526, HU074, EE518"
ISCO_1,numeric,47459,51,"0, 1, 2, 3, 4"
ISCO_2,numeric,47459,51,"0.1, 0.2, 0.3, 0, 11"
NACE0_lbl,character,47234,50.7,"Public administration, Other services, Education, Construction, Transport"
NACE1,character,47234,50.7,"O, S, M, N, P"
NACE_2,numeric,47234,50.7,"84, 96, 72, 80, 85"
number_jobs_trend,numeric,76145,81.8,"1, 2"
regular_other_job_trend,numeric,5840,6.3,"1, 2"
employee_selfdeclared,numeric,84864,91.2,"1, 2"
paid_salary,numeric,139,0.1,"2, 1"
hire_dismiss,numeric,4961,5.3,"1, 2"
paid_weeklymonthly,numeric,4993,5.4,"1, 2"
selfemp_withemployees,numeric,7116,7.6,"1, 2"
empl_contract,numeric,51029,54.8,"1, 2, 5, 3, 4"
seniority,numeric,85354,91.7,"11, 12, 19, 0, 20"
change_employment,numeric,28409,30.5,"4, 3, 2, 1, 5"
num_supervising,numeric,61148,65.7,"4, 0, 50, 8, 30"
usual_days,numeric,58782,63.1,"5, 7, 6, 3, 2"
vibration,numeric,86082,92.5,"7, 3, 6, 5, 4"
noise,numeric,92839,99.7,"6, 7, 3, 5, 4"
hightemp,numeric,86059,92.4,"6, 7, 4, 5, 1"
lowtemp,numeric,86003,92.4,"5, 6, 7, 3, 2"
smoke,numeric,86061,92.4,"6, 7, 5, 2, 3"
vapour,numeric,59340,63.7,"6, 7, 5, 1, 4"
chemicals,numeric,86015,92.4,"6, 7, 4, 5, 1"
infect,numeric,59313,63.7,"7, 6, 5, 1, 4"
tiring_positions,numeric,92698,99.6,"7, 6, 2, 5, 4"
lifting,numeric,59382,63.8,"7, 3, 6, 5, 4"
heavy_loads,numeric,92813,99.7,"6, 4, 7, 5, 2"
sitting,numeric,29744,31.9,"2, 5, 4, 3, 7"
rep_movements,numeric,85964,92.3,"6, 2, 4, 7, 1"
dealing_customers,numeric,86049,92.4,"5, 4, 6, 7, 1"
angry_clients,numeric,47355,50.9,"6, 7, 1, 5, 3"
emot_disturb,numeric,29660,31.9,"2, 6, 7, 5, 3"
computer,numeric,92747,99.6,"6, 1, 2, 7, 3"
osh_informed,numeric,86931,93.4,"1, 2, 3, 4"
night,numeric,85271,91.6,"0, 5, 2, 4, 8"
longday,numeric,74393,79.9,"3, 0, 8, 5, 2"
norest,numeric,29505,31.7,"2, 1"
same_hours_day,numeric,76075,81.7,"2, 1"
same_days_week,numeric,76099,81.7,"1, 2"
same_hours_week,numeric,47348,50.9,"2, 1"
fixed_startfinish,numeric,85745,92.1,"2, 1"
shift,numeric,92402,99.2,"2, 1"
shift_type,numeric,15254,16.4,"3, 2, 1, 4"
wt_arrangements,numeric,59118,63.5,"4, 3, 2, 1"
work_life_balance,numeric,76099,81.7,"3, 2, 1, 4"
wlb_worry,numeric,29546,31.7,"2, 3, 4, 5, 1"
wlb_tired,numeric,29505,31.7,"3, 4, 5, 2, 1"
wlb_timefamily,numeric,29168,31.3,"4, 3, 2, 5, 1"
wlb_concentrate,numeric,29072,31.2,"5, 4, 3, 2, 1"
freetime_work,numeric,46681,50.1,"4, 5, 3, 1, 2"
able_hour_off,numeric,46768,50.2,"1, 2, 3, 4"
reptasks_1minute,numeric,74790,80.3,"2, 1"
reptasks_10minute,numeric,84458,90.7,"2, 1"
highspeed,numeric,92331,99.2,"3, 5, 2, 6, 7"
tightdead,numeric,92108,98.9,"3, 6, 2, 5, 7"
pace_colleagues,numeric,84390,90.6,"2, 1"
pace_cust,numeric,85183,91.5,"2, 1"
pace_targets,numeric,83632,89.8,"1, 2"
pace_machine,numeric,83951,90.2,"2, 1"
pace_boss,numeric,82776,88.9,"2, 1"
interrupt,numeric,61424,66,"3, 2, 4, 1"
interrupt_disrupt,numeric,47270,50.8,"2, 1, 3"
qual_standards,numeric,84623,90.9,"1, 2"
assess_qual,numeric,84806,91.1,"1, 2"
unforeseen_problems,numeric,85520,91.9,"1, 2"
monotasks,numeric,85244,91.6,"2, 1"
complex_tasks,numeric,85114,91.4,"1, 2"
learning_new_things,numeric,85481,91.8,"1, 2"
team,numeric,75592,81.2,"1, 2"
team_same,numeric,28290,30.4,"2, 1"
team_aut_task,numeric,35093,37.7,"2, 1"
team_aut_head,numeric,34645,37.2,"2, 1"
team_aut_time,numeric,28056,30.1,"2, 1"
support_colleagues,numeric,54000,58,"1, 2, 4, 3, 5"
support_manager,numeric,51622,55.4,"2, 1, 3, 4, 5"
consulted,numeric,42461,45.6,"2, 1, 4, 5, 3"
improv_workorg,numeric,43602,46.8,"1, 2, 4, 3, 5"
choice_partners,numeric,54800,58.9,"1, 4, 5, 3, 2"
take_break,numeric,59112,63.5,"2, 3, 5, 1, 4"
enough_time,numeric,59086,63.5,"3, 2, 5, 1, 4"
work_welldone,numeric,59042,63.4,"3, 2, 1, 4, 5"
apply_ideas,numeric,58851,63.2,"2, 4, 3, 1, 5"
useful_work,numeric,59053,63.4,"2, 1, 3, 4, 5"
fair_treatment,numeric,25907,27.8,"1, 2, 5, 3, 4"
stress,numeric,47262,50.8,"3, 1, 5, 2, 4"
decision_influence,numeric,46736,50.2,"1, 2, 4, 3, 5"
hide_feelings,numeric,46443,49.9,"1, 5, 2, 4, 3"
boss_gender,numeric,73984,79.5,"1, 2, 3"
boss_respect,numeric,25489,27.4,"1, 2, 4, 3, 5"
boss_cooperation,numeric,25109,27,"2, 1, 4, 3, 5"
boss_feedback,numeric,25399,27.3,"1, 3, 2, 4, 5"
boss_development,numeric,25356,27.2,"3, 2, 1, 4, 5"
skills_match,numeric,58815,63.2,"2, 1, 3"
wp_mantrustemp,numeric,25612,27.5,"1, 3, 2, 4, 5"
wp_conflicts,numeric,25026,26.9,"2, 1, 5, 4, 3"
trade_union,numeric,24687,26.5,"1, 2"
osh_delegate,numeric,24282,26.1,"1, 2"
meeting,numeric,25434,27.3,"1, 2"
discrimination_trend,numeric,86132,92.5,"1, 2"
dis_age,numeric,86026,92.4,"2, 1"
dis_ethnic,numeric,86005,92.4,"2, 1"
dis_nation,numeric,85979,92.4,"2, 1"
dis_gender,numeric,86024,92.4,"2, 1"
dis_religion,numeric,59277,63.7,"2, 1"
dis_disability,numeric,86007,92.4,"1, 2"
dis_sex_orient,numeric,76210,81.9,"1, 2"
osh_risk,numeric,90615,97.3,"2, 1"
