...1,6th - 2015,...3,...4,...5,5th - 2010,...7,...8,4th - 2005,...10,...11,3rd cc - 2001,...13,...14,3rd - 2000,...16,...17,2nd - 1995 (EB44.2),...19,...20,...21,...22,1st - 1991 (EB35),...24,...25,...26,...27
Topic,EF qs,Label,Codes,Change,EF qs,Label,Codes,EF qs,Label,Codes,EF qs,Label,Codes,EF qs,Label,Codes,EB qs,EF qs,EF data,Label,Codes,EB qs,EF qs,EF data,Label,Codes
Household grid / # of people in HH,Q1,"Including yourself, can you please tell me how many people live in this household?","# Number of people living in household

99 - Refusal (spontaneous)",Trend 2005,HH1,"Including yourself, can you please tell me how many people live in this household?","# Number of people living in household

99 - Refusal (spontaneous)",HH1,"Including yourself, can you please tell me how many people live in this household?","# Number of people living in household

99 - Refusal (spontaneous)",EF12a,"How many people live in your household, including yourself, all adults and children ?","# Number of people living in household

99 - Refusal (spontaneous)",EF12,"How many people live in your household, including yourself, all adults and children ?","# Number of people living in household

99 - Refusal (spontaneous)",D12,Q39,hh1,"How many people live is your household, including yourself, all adults and children?","# Number of people living in household

99 - Refusal (spontaneous)",D14,-,hh1,"How many people live in your household, including yourself, all adults and children ?",# Number of people living in household
Household grid / R Sex,Q2a,[INTERVIEWER},"1 - Male
2 - Female

9 - Refusal",Trend 2005,HH2.a,[INTERVIEWER},"1 - Male
2 - Female

9 - Refusal",HH2.a,[INTERVIEWER},"1 - Male
2 - Female

9 - Refusal",EF10,GENDER,"1 - Male
2 - Female",EF10,SEX,"1 - Male
2 - Female",Q1,Q1,hh2a,Sex?,"1 - Male
2 - Female",D12,-,hh2a,SEX,"1 - Male
2 - Female"
Household grid / R Age,Q2b,"Starting with yourself, how old are you?","# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",Trend 2005,HH2.b,"Starting with yourself, how old are you?","# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",HH2.b,"Starting with yourself, how old are you?","# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",EF11,How old are you ?,# Age,EF11,How old are you?,# Age,Q2,Q2,hh2b,What age were you at your last birthday?,# Age,D13,-,hh2b,How old are you,# Age
Household grid / R Economic Activities,Q2c,Please look at this card and tell me which of these categories describes your current situation the best?,"01 - at work as employee or employer/self-employed
02 - at work as relative assisting on family farm or business *
03 - unemployed less than 12 months
04 - unemployed 12 months or more
05 - unable to work due to long-term illness or disability
06 - on child-care leave or other leave
07 - retired
08 - full time homemaker/ responsible for ordinary shopping and looking after the home 
09 - in full time education (at school, university, etc.) / student
10 - other

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",Modified trend 2010,HH2.d,Please look at this card and tell me which of these categories describes your current situation the best?,"01 - at work as employee or employer/self-employed
02 - at work as relative assisting on family farm or business *
03 - unemployed less than 12 months
04 - unemployed 12 months or more
05 - unable to work due to long-term illness or disability
06 - on child-care leave or other leave
07 - retired
08 - full time homemaker/ responsible for ordinary shopping and looking after the home 
09 - in full time education (at school, university, etc.) / student
10 - other

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",HH2.d,What is your  principal economic status?,"01 - at work as employee or employer/self-employed               
02 - at work,  on child-care leave or other leave                   
03 - at work as relative assisting on family farm or business *    
04 - unemployed less than 12 months
05 - unemployed 12 months or more
06 - unable to work due to long-term illness or disability
07 - retired
08 - full time homemaker/ responsible for ordinary shopping and looking after the home 
09 - in education (at school, university, etc.) / student
10 - other

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household grid Part- / Full-time?,Q2d,And do you work part time or full time?,"1 - Part time
2 - Full time

8 - DK/No opinion (spontaneous)
9 - Refusal (spontaneous)",asked in household grid,NA,NA,NA,Q15a,Do you work part-time or full-time?,"1 - Part-time
2 - Full-time

9 - Refusal (spontaneous)",Q14a,Do you work part-time?,"1 - Yes
2 - No",Q17a,Do you work part-time?,"1 - Yes
2 - No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household grid / Sex,Q3a,Could you tell me whether this is a male or a female?,"1 - Male
2 - Female

9 - Refusal",Trend 2005,HH3.a,Could you tell me whether this is a male or a female?,"1 - Male
2 - Female

9 - Refusal",HH3.a,Could you tell me whether this is a male or a female?,"1 - Male
2 - Female

9 - Refusal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household grid / Age,Q3b,How old is he/she?,"# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",Trend 2005,HH3.b,How old is he/she?,"# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",HH3.b,How old is he/she?,"# Age

888 - DK/No opinion (spontaneous)
999 - Refusal (spontaneous)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household grid / Rel. to R,Q3c,What is this person’s relationship to you? Is he/she your …?,"01 - spouse/partner
02 - son/daughter
03 - parent, step-parent or parent in law
04 - daughter or son in law
05 - grandchild
06 - brother/sister (incl. half and step siblings)
07 - other relative
08 - other non relative

88 - DK/No opinion (spontaneous)
99- Refusal (spontaneous)",Modified Trend 2005,HH3.c,What is this person’s relationship to you? Is he/she your …?,"01 - spouse/partner
02 - son/daughter
03 - parent, step-parent or parent in law
04 - daughter or son in law
05 - grandchild
06 - brother/sister (incl. half and step siblings)
07 - other relative
08 - other non relative

88 - DK/No opinion (spontaneous)
99- Refusal (spontaneous)",HH3.c,What is this person’s relationship to you? Is he/she your …?,"01 - spouse/partner
02 - son/daughter
03 - parent, step-parent or parent in law
04 - daughter or son in law
05 - grandchild
06 - brother/sister (incl. half and step siblings)
07 - other relative
08 - other non relative

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household grid / Economic Activities,Q3d,And which of these categories describes the situation of this person the best?,"01 - at work as employee or employer/self-employed*
/relative assisting on family farm or business **
02 - unemployed  
03 - unable to work due to long-term illness or disability
04 - at work and on child-care leave or other leave
05 - retired
06 - full time homemaker/ responsible for ordinary shopping and looking after the home 
07 - in full time education (at school, university, etc.) / student
08 -other (e.g. military duty) 
09 - child under 14 (not asked, coded from HH3b)

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)
* Even in cases where the business fails to deliver any profit or income yet
** in the case of unpaid family members, they should be included in this status even in case when the remuneration is not monetary and /or the person does not receive any fomal pay .",N - Change Codes,HH3.d,And which of these categories describes the situation of this person the best?,"01 - at work as employee or employer/self-employed
02 - at work as relative assisting on family farm or business *
03 - unemployed less than 12 months
04 - unemployed 12 months or more
05 - unable to work due to long-term illness or disability
06 - on child-care leave or other leave
07 - retired
08 - full time homemaker/ responsible for ordinary shopping and looking after the home 
09 - in full time education (at school, university, etc.) / student
10 - other

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",HH3.d,And what is this person’s principal economic status?,"01 - at work as employee or employer/self-employed               
02 - at work,  on child-care leave or other leave                   
03 - at work as relative assisting on family farm or business *    
04 - unemployed less than 12 months
05 - unemployed 12 months or more
06 - unable to work due to long-term illness or disability
07 - retired
08 - full time homemaker/ responsible for ordinary shopping and looking after the home 
09 - in education (at school, university, etc.) / student
10 - other

88 - DK/No opinion (spontaneous)
99 - Refusal (spontaneous)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
