country_code,wave,wave_label,age_band,n,share
AL,5,"W5
2010",18-24,56,10.748560460652591
AL,5,"W5
2010",25-29,73,14.011516314779271
AL,5,"W5
2010",30-34,73,14.011516314779271
AL,5,"W5
2010",35-39,121,23.224568138195778
AL,5,"W5
2010",40-45,198,38.00383877159309
AL,6,"W6
2015",18-24,160,25.848142164781905
AL,6,"W6
2015",25-29,128,20.678513731825525
AL,6,"W6
2015",30-34,111,17.932148626817447
AL,6,"W6
2015",35-39,90,14.539579967689823
AL,6,"W6
2015",40-45,130,21.001615508885298
AL,8,"W8
2024",18-24,86,15.008726003490402
AL,8,"W8
2024",25-29,136,23.7347294938918
AL,8,"W8
2024",30-34,130,22.68760907504363
AL,8,"W8
2024",35-39,119,20.76788830715532
AL,8,"W8
2024",40-45,102,17.801047120418847
AT,2,"W2
1995",18-24,92,11.749680715197956
AT,2,"W2
1995",25-29,152,19.4125159642401
AT,2,"W2
1995",30-34,187,23.88250319284802
AT,2,"W2
1995",35-39,188,24.010217113665387
AT,2,"W2
1995",40-45,164,20.94508301404853
AT,3,"W3
2000",18-24,158,14.031971580817052
AT,3,"W3
2000",25-29,194,17.2291296625222
AT,3,"W3
2000",30-34,237,21.04795737122558
AT,3,"W3
2000",35-39,279,24.77797513321492
AT,3,"W3
2000",40-45,258,22.912966252220247
AT,4,"W4
2005",18-24,81,11.807580174927114
AT,4,"W4
2005",25-29,107,15.597667638483964
AT,4,"W4
2005",30-34,136,19.825072886297377
AT,4,"W4
2005",35-39,158,23.03206997084548
AT,4,"W4
2005",40-45,204,29.737609329446062
AT,5,"W5
2010",18-24,77,14.446529080675422
AT,5,"W5
2010",25-29,82,15.384615384615385
AT,5,"W5
2010",30-34,100,18.76172607879925
AT,5,"W5
2010",35-39,126,23.639774859287055
AT,5,"W5
2010",40-45,148,27.76735459662289
AT,6,"W6
2015",18-24,77,13.676731793960922
AT,6,"W6
2015",25-29,96,17.05150976909414
AT,6,"W6
2015",30-34,114,20.24866785079929
AT,6,"W6
2015",35-39,111,19.715808170515096
AT,6,"W6
2015",40-45,165,29.307282415630553
AT,8,"W8
2024",18-24,103,18.392857142857146
AT,8,"W8
2024",25-29,111,19.82142857142857
AT,8,"W8
2024",30-34,99,17.67857142857143
AT,8,"W8
2024",35-39,127,22.678571428571427
AT,8,"W8
2024",40-45,120,21.428571428571427
BA,8,"W8
2024",18-24,91,12.117177097203728
BA,8,"W8
2024",25-29,170,22.63648468708389
BA,8,"W8
2024",30-34,181,24.101198402130493
BA,8,"W8
2024",35-39,125,16.644474034620508
BA,8,"W8
2024",40-45,184,24.500665778961384
BE,1,"W1
1991",18-24,101,13.448735019973368
BE,1,"W1
1991",25-29,160,21.304926764314246
BE,1,"W1
1991",30-34,163,21.70439414114514
BE,1,"W1
1991",35-39,153,20.372836218375497
BE,1,"W1
1991",40-45,174,23.169107856191744
BE,2,"W2
1995",18-24,119,15.454545454545453
BE,2,"W2
1995",25-29,163,21.16883116883117
BE,2,"W2
1995",30-34,154,20
BE,2,"W2
1995",35-39,159,20.64935064935065
BE,2,"W2
1995",40-45,175,22.727272727272727
BE,3,"W3
2000",18-24,157,13.918439716312056
BE,3,"W3
2000",25-29,196,17.375886524822697
BE,3,"W3
2000",30-34,213,18.882978723404257
BE,3,"W3
2000",35-39,274,24.29078014184397
BE,3,"W3
2000",40-45,288,25.53191489361702
BE,4,"W4
2005",18-24,72,11.162790697674419
BE,4,"W4
2005",25-29,88,13.643410852713178
BE,4,"W4
2005",30-34,113,17.519379844961243
BE,4,"W4
2005",35-39,158,24.496124031007753
BE,4,"W4
2005",40-45,214,33.17829457364341
BE,5,"W5
2010",18-24,299,11.21530382595649
BE,5,"W5
2010",25-29,565,21.192798199549888
BE,5,"W5
2010",30-34,499,18.717179294823705
BE,5,"W5
2010",35-39,625,23.443360840210055
BE,5,"W5
2010",40-45,678,25.431357839459867
BE,6,"W6
2015",18-24,132,9.224318658280922
BE,6,"W6
2015",25-29,260,18.16911250873515
BE,6,"W6
2015",30-34,303,21.17400419287212
BE,6,"W6
2015",35-39,320,22.36198462613557
BE,6,"W6
2015",40-45,416,29.070580013976237
BE,8,"W8
2024",18-24,169,14.493996569468267
BE,8,"W8
2024",25-29,186,15.951972555746142
BE,8,"W8
2024",30-34,235,20.154373927958833
BE,8,"W8
2024",35-39,273,23.41337907375643
BE,8,"W8
2024",40-45,303,25.986277873070325
