country_code,wave,wave_label,sex_clean,n,share
AL,5,"W5
2010",Female,364,36.4
AL,6,"W6
2015",Female,560,55.88822355289421
AL,8,"W8
2024",Female,467,47.60448521916412
AT,2,"W2
1995",Female,475,44.02224281742354
AT,3,"W3
2000",Female,774,50.720838794233295
AT,4,"W4
2005",Female,524,51.932606541129836
AT,5,"W5
2010",Female,539,53.73878364905285
AT,6,"W6
2015",Female,571,55.54474708171207
AT,8,"W8
2024",Female,497,47.69673704414588
BA,8,"W8
2024",Female,515,44.89973844812554
BE,1,"W1
1991",Female,423,41.10787172011662
BE,2,"W2
1995",Female,399,39.15603532875368
BE,3,"W3
2000",Female,623,40.90610636900854
BE,4,"W4
2005",Female,518,51.64506480558325
BE,5,"W5
2010",Female,1835,45.86353411647088
BE,6,"W6
2015",Female,1290,49.86470815616544
BE,8,"W8
2024",Female,1040,50.75646656905808
BG,3,"W3
2000",Female,505,50.5
BG,4,"W4
2005",Female,622,54.801762114537446
BG,5,"W5
2010",Female,540,53.25443786982249
BG,6,"W6
2015",Female,573,53.85338345864662
BG,8,"W8
2024",Female,543,54.300000000000004
CH,4,"W4
2005",Female,452,43.46153846153846
CH,6,"W6
2015",Female,479,47.61431411530815
CH,8,"W8
2024",Female,526,52.130822596630324
CY,3,"W3
2000",Female,225,45.36290322580645
CY,4,"W4
2005",Female,249,41.5
CY,5,"W5
2010",Female,449,44.9
CY,6,"W6
2015",Female,492,49.05284147557328
CY,8,"W8
2024",Female,441,53.977968176254585
CZ,3,"W3
2000",Female,492,47.76699029126213
CZ,4,"W4
2005",Female,553,53.84615384615385
CZ,5,"W5
2010",Female,523,52.300000000000004
CZ,6,"W6
2015",Female,529,52.84715284715284
CZ,8,"W8
2024",Female,561,55.21653543307087
DE,1,"W1
1991",Female,1132,45.37074148296593
DE,2,"W2
1995",Female,932,44.65740297077144
DE,3,"W3
2000",Female,680,44.15584415584416
DE,4,"W4
2005",Female,475,46.66011787819254
DE,5,"W5
2010",Female,1016,47.63244256915143
DE,6,"W6
2015",Female,1026,49.043977055449325
DE,8,"W8
2024",Female,530,50.0945179584121
DK,1,"W1
1991",Female,515,44.35831180017227
DK,2,"W2
1995",Female,484,48.4
DK,3,"W3
2000",Female,735,48.80478087649402
DK,4,"W4
2005",Female,540,53.78486055776892
DK,5,"W5
2010",Female,517,48.36295603367633
DK,6,"W6
2015",Female,486,48.50299401197605
DK,8,"W8
2024",Female,492,49.298597194388776
EE,3,"W3
2000",Female,506,50.6
EE,4,"W4
2005",Female,353,58.63787375415283
EE,5,"W5
2010",Female,619,61.9
EE,6,"W6
2015",Female,610,60.15779092702169
EE,8,"W8
2024",Female,527,52.385685884691846
EL,1,"W1
1991",Female,275,31.682027649769584
EL,2,"W2
1995",Female,352,34.990059642147116
EL,3,"W3
2000",Female,570,38
EL,4,"W4
2005",Female,416,41.55844155844156
EL,5,"W5
2010",Female,428,41.27290260366442
EL,6,"W6
2015",Female,425,42.20456802383317
EL,8,"W8
2024",Female,536,47.10017574692443
ES,1,"W1
1991",Female,314,33.47547974413646
ES,2,"W2
1995",Female,336,33.6
ES,3,"W3
2000",Female,535,35.66666666666667
ES,4,"W4
2005",Female,514,50.54080629301868
ES,5,"W5
2010",Female,502,49.801587301587304
ES,6,"W6
2015",Female,1650,49.048751486325806
ES,8,"W8
2024",Female,501,50
FI,2,"W2
1995",Female,521,49.058380414312616
FI,3,"W3
2000",Female,773,51.67112299465241
FI,4,"W4
2005",Female,577,54.48536355051936
FI,5,"W5
2010",Female,592,57.58754863813229
FI,6,"W6
2015",Female,509,50.9
FI,8,"W8
2024",Female,555,55.667001003009034
FR,1,"W1
1991",Female,440,40.256175663311986
FR,2,"W2
1995",Female,492,48.9065606361829
FR,3,"W3
2000",Female,664,44.207723035952064
FR,4,"W4
2005",Female,575,53.093259464450604
FR,5,"W5
2010",Female,1655,54.33355219960604
FR,6,"W6
2015",Female,800,52.424639580602886
FR,8,"W8
2024",Female,517,49.14448669201521
HR,4,"W4
2005",Female,561,55.48961424332344
HR,5,"W5
2010",Female,530,48.18181818181818
HR,6,"W6
2015",Female,525,51.98019801980198
HR,8,"W8
2024",Female,587,54.859813084112155
HU,3,"W3
2000",Female,507,50.7
HU,4,"W4
2005",Female,497,49.65034965034965
HU,5,"W5
2010",Female,503,50
HU,6,"W6
2015",Female,548,53.567937438905176
HU,8,"W8
2024",Female,627,59.20679886685553
IE,1,"W1
1991",Female,270,30.201342281879196
IE,2,"W2
1995",Female,371,36.87872763419483
IE,3,"W3
2000",Female,653,43.47536617842876
IE,4,"W4
2005",Female,436,43.21110009910803
IE,5,"W5
2010",Female,493,49.152542372881356
IE,6,"W6
2015",Female,493,46.68560606060606
IE,8,"W8
2024",Female,551,49.819168173598555
IT,1,"W1
1991",Female,311,33.22649572649573
IT,2,"W2
1995",Female,391,37.8875968992248
IT,3,"W3
2000",Female,552,36.8
IT,4,"W4
2005",Female,502,49.950248756218905
IT,5,"W5
2010",Female,756,50.4
IT,6,"W6
2015",Female,677,48.3226266952177
IT,8,"W8
2024",Female,440,43.09500489715965
LT,3,"W3
2000",Female,542,54.2
LT,4,"W4
2005",Female,642,63.12684365781711
LT,5,"W5
2010",Female,612,60.95617529880478
LT,6,"W6
2015",Female,598,59.561752988047814
LT,8,"W8
2024",Female,617,59.498553519768564
LU,1,"W1
1991",Female,180,36.58536585365854
LU,2,"W2
1995",Female,183,36.6
LU,3,"W3
2000",Female,196,39.04382470119522
LU,4,"W4
2005",Female,254,42.333333333333336
LU,5,"W5
2010",Female,453,45.300000000000004
LU,6,"W6
2015",Female,497,49.55134596211366
LU,8,"W8
2024",Female,251,49.0234375
LV,3,"W3
2000",Female,558,55.46719681908549
LV,4,"W4
2005",Female,597,59.52143569292123
LV,5,"W5
2010",Female,637,63.63636363636363
LV,6,"W6
2015",Female,576,57.37051792828686
LV,8,"W8
2024",Female,636,58.34862385321101
