country_code,wave,wave_label,n
AL,5,"W5
2010",1000
AL,6,"W6
2015",1002
AL,8,"W8
2024",981
AT,2,"W2
1995",1079
AT,3,"W3
2000",1526
AT,4,"W4
2005",1009
AT,5,"W5
2010",1003
AT,6,"W6
2015",1028
AT,8,"W8
2024",1043
BA,8,"W8
2024",1147
BE,1,"W1
1991",1029
BE,2,"W2
1995",1019
BE,3,"W3
2000",1523
BE,4,"W4
2005",1003
BE,5,"W5
2010",4001
BE,6,"W6
2015",2587
BE,8,"W8
2024",2053
BG,3,"W3
2000",1000
BG,4,"W4
2005",1135
BG,5,"W5
2010",1014
BG,6,"W6
2015",1064
BG,8,"W8
2024",1001
CH,4,"W4
2005",1040
CH,6,"W6
2015",1006
CH,8,"W8
2024",1010
CY,3,"W3
2000",496
CY,4,"W4
2005",600
CY,5,"W5
2010",1000
CY,6,"W6
2015",1003
CY,8,"W8
2024",817
CZ,3,"W3
2000",1030
CZ,4,"W4
2005",1027
CZ,5,"W5
2010",1000
CZ,6,"W6
2015",1002
CZ,8,"W8
2024",1017
DE,1,"W1
1991",2495
DE,2,"W2
1995",2087
DE,3,"W3
2000",1540
DE,4,"W4
2005",1018
DE,5,"W5
2010",2133
DE,6,"W6
2015",2093
DE,8,"W8
2024",1062
DK,1,"W1
1991",1161
DK,2,"W2
1995",1000
DK,3,"W3
2000",1506
DK,4,"W4
2005",1004
DK,5,"W5
2010",1069
DK,6,"W6
2015",1002
DK,8,"W8
2024",1000
EE,3,"W3
2000",1000
EE,4,"W4
2005",602
EE,5,"W5
2010",1000
EE,6,"W6
2015",1015
EE,8,"W8
2024",1007
EL,1,"W1
1991",868
EL,2,"W2
1995",1006
EL,3,"W3
2000",1500
EL,4,"W4
2005",1001
EL,5,"W5
2010",1037
EL,6,"W6
2015",1007
EL,8,"W8
2024",1138
ES,1,"W1
1991",938
ES,2,"W2
1995",1000
ES,3,"W3
2000",1500
ES,4,"W4
2005",1017
ES,5,"W5
2010",1008
ES,6,"W6
2015",3364
ES,8,"W8
2024",1002
FI,2,"W2
1995",1062
FI,3,"W3
2000",1496
FI,4,"W4
2005",1059
FI,5,"W5
2010",1028
FI,6,"W6
2015",1001
FI,8,"W8
2024",1001
FR,1,"W1
1991",1093
FR,2,"W2
1995",1006
FR,3,"W3
2000",1502
FR,4,"W4
2005",1083
FR,5,"W5
2010",3046
FR,6,"W6
2015",1527
FR,8,"W8
2024",1052
HR,4,"W4
2005",1011
HR,5,"W5
2010",1100
HR,6,"W6
2015",1012
HR,8,"W8
2024",1070
HU,3,"W3
2000",1000
HU,4,"W4
2005",1001
HU,5,"W5
2010",1006
